,Logistic Regression,Decision Tree,MLP,Random Forest,SVM,Tensor Flow
cols0,0.975,0.932,0.977,0.945,0.972,0.9975
cols1,0.947,0.92,0.932,0.935,0.94,0.9874
cols2,0.91,0.892,0.922,0.917,0.93,0.949
cols3,0.937,0.915,0.932,0.935,0.937,0.977
cols4,0.904,0.915,0.92,0.922,0.937,0.9548
cols5,0.937,0.925,0.942,0.937,0.947,0.9774
cols6,0.912,0.895,0.917,0.92,0.912,0.9322
